2011-10-27 23:23:20,436 [Sollentunahem]  Available apartmants:11
2011-10-27 23:23:20,436 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 b', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7380, date='2011-11-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:20,436 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 b', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7380, date='2011-11-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:20,436 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 b', region='Tureberg', numberOfRooms=5, livingArea=118, rent=12750, date='2011-11-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:20,436 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 b', region='Tureberg', numberOfRooms=5, livingArea=118, rent=12750, date='2011-11-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:20,437 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 b', region='Tureberg', numberOfRooms=5, livingArea=118, rent=12750, date='2011-11-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:20,437 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 b', region='Tureberg', numberOfRooms=5, livingArea=118, rent=12750, date='2011-11-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:20,437 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 b', region='Tureberg', numberOfRooms=5, livingArea=118, rent=12750, date='2011-11-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:20,438 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 b', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7450, date='2011-11-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:20,438 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 b', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7450, date='2011-11-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:20,438 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Turebergs allé  18', region='Turebergs allé', numberOfRooms=2, livingArea=52, rent=7270, date='2012-02-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:21,239 [Sollentunahem]  Number of registered apartmants: 0
2011-10-27 23:23:21,250 [Sollentunahem]  Available apartmants:16
2011-10-27 23:23:21,250 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Skyttevägen 18 vån bv', region='Edsberg', numberOfRooms=2, livingArea=57, rent=5004, date='2012-02-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:21,250 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Ribbings väg 7 b vån 7', region='Edsberg', numberOfRooms=3, livingArea=69, rent=6224, date='2012-02-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:21,251 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Ribbings väg 9 a vån 4', region='Edsberg', numberOfRooms=1, livingArea=34, rent=3308, date='2012-02-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:21,251 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Ribbings väg  91 vån 4', region='Edsberg', numberOfRooms=1, livingArea=22, rent=2945, date='2012-02-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:21,251 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Rotebro Torg  5', region='Rotebro', numberOfRooms=2, livingArea=60, rent=7597, date='2012-02-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:21,252 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Rusthållarevägen 12 vån 2', region='Rotsunda', numberOfRooms=3, livingArea=71, rent=6177, date='2012-01-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:21,252 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 8 a vån 9', region='Tureberg', numberOfRooms=2, livingArea=58, rent=4572, date='2012-02-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:21,252 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 a', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7380, date='2011-12-15', numberOfApplicants=0, floor=0}
2011-10-27 23:23:21,252 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 a', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7380, date='2011-12-15', numberOfApplicants=0, floor=0}
2011-10-27 23:23:21,253 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 a', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7380, date='2011-12-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:21,253 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 a', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7380, date='2011-12-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:21,253 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 a', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7380, date='2011-11-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:21,253 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 a', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7380, date='2011-11-01', numberOfApplicants=0, floor=0}
2011-10-27 23:23:21,253 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 a', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7380, date='2011-12-15', numberOfApplicants=0, floor=0}
2011-10-27 23:23:21,253 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 a', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7380, date='2011-12-15', numberOfApplicants=0, floor=0}
2011-10-27 23:23:22,126 [Sollentunahem]  Number of registered apartmants: 0
2011-10-27 23:23:22,138 [Sollentunahem]  Available apartmants:16
2011-10-27 23:23:22,139 [Sollentunahem]  Adding apartmant: Apartmant{lghNr=0, lastMinute=false, address='Malmvägen 2 a', region='Tureberg', numberOfRooms=2, livingArea=61, rent=7380, date='2011-12-01', numberOfApplicants=0, floor=0}
